Average Case 
	 T(n)
500	44.000000
510	41.000000
520	41.000000
530	42.000000
540	40.000000
550	39.000000
560	36.000000
570	38.000000
580	37.000000
590	29.000000
600	28.000000
610	18.000000
620	10.000000
630	46.000000
640	45.000000
650	46.000000
660	46.000000
670	43.000000
680	43.000000
690	43.000000
700	45.000000
710	43.000000
720	44.000000
730	44.000000
740	44.000000
750	45.000000
760	42.000000
770	42.000000
780	42.000000
790	42.000000
800	41.000000
810	42.000000
820	40.000000
830	41.000000
840	45.000000
850	48.000000
860	44.000000
870	43.000000
880	37.000000
890	36.000000
900	30.000000
910	26.000000
920	21.000000
930	14.000000
940	46.000000
950	46.000000
960	44.000000
970	48.000000
980	47.000000
990	51.000000
1000	47.000000
1010	46.000000
1020	46.000000
1030	45.000000
1040	45.000000
1050	47.000000
1060	46.000000
1070	48.000000
1080	48.000000
1090	47.000000
1100	48.000000
1110	46.000000
1120	49.000000
1130	50.000000
1140	46.000000
1150	48.000000
1160	46.000000
1170	49.000000
1180	49.000000
1190	49.000000
1200	55.000000
1210	51.000000
1220	48.000000
1230	48.000000
1240	48.000000
1250	48.000000
1260	49.000000
1270	46.000000
1280	47.000000
1290	54.000000
1300	51.000000
1310	51.000000
1320	48.000000
1330	49.000000
1340	69.000000
1350	51.000000
1360	65.000000
1370	71.000000
1380	71.000000
1390	105.000000
1400	71.000000
1410	62.000000
1420	50.000000
1430	49.000000
1440	49.000000
1450	50.000000
1460	49.000000
1470	50.000000
1480	48.000000
1490	49.000000
1500	48.000000
1510	46.000000
1520	48.000000
1530	49.000000
1540	48.000000
1550	48.000000
1560	47.000000
1570	50.000000
1580	50.000000
1590	48.000000
1600	50.000000
1610	52.000000
1620	52.000000
1630	51.000000
1640	50.000000
1650	71.000000
1660	80.000000
1670	54.000000
1680	52.000000
1690	51.000000
1700	51.000000
1710	49.000000
1720	50.000000
1730	49.000000
1740	47.000000
1750	50.000000
1760	48.000000
1770	52.000000
1780	47.000000
1790	52.000000
1800	52.000000
1810	50.000000
1820	47.000000
1830	48.000000
1840	46.000000
1850	44.000000
1860	35.000000
1870	42.000000
1880	29.000000
1890	14.000000
1900	50.000000
1910	52.000000
1920	56.000000
1930	51.000000
1940	52.000000
1950	52.000000
1960	53.000000
1970	53.000000
1980	50.000000
1990	50.000000
2000	57.000000
2010	53.000000
2020	63.000000
2030	60.000000
2040	58.000000
2050	57.000000
2060	53.000000
2070	68.000000
2080	55.000000
2090	55.000000
2100	56.000000
2110	56.000000
2120	55.000000
2130	55.000000
2140	53.000000
2150	52.000000
2160	55.000000
2170	52.000000
2180	55.000000
2190	51.000000
2200	53.000000
2210	53.000000
2220	53.000000
2230	56.000000
2240	58.000000
2250	56.000000
2260	58.000000
2270	54.000000
2280	65.000000
2290	69.000000
2300	54.000000
2310	54.000000
2320	52.000000
2330	52.000000
2340	53.000000
2350	51.000000
